asn,count,bad_count,CCA
VNG Corporation,5,0,0.0
CNServer LLC,5,5,1.0
West263 International Limited,5,0,0.0
"Axarnet Comunicaciones, S.l.",5,1,0.2
"Sampling Line-servicos E Internet, Lda",5,3,0.6
webgo GmbH,5,1,0.2
BROADBANDIDC,5,0,0.0
JSC Mediasoft ekspert,5,0,0.0
Servergarden Kft.,5,0,0.0
noris network AG,5,0,0.0
Plus Hosting Grupa d.o.o.,5,1,0.2
united-domains GmbH,5,0,0.0
Hostpoint AG,5,0,0.0
Turnkey Internet Inc.,5,0,0.0
Orange,5,2,0.4
"DigiRock, Inc.",5,0,0.0
"Atlantic.net, Inc.",5,2,0.4
JPMorgan Chase & Co.,5,0,0.0
Plus.line AG,5,0,0.0
Enix Ltd,5,3,0.6
MTS PJSC,5,1,0.2
Hostopia Australia Web Pty Ltd,5,2,0.4
Vodafone-panafon Hellenic Telecommunications Company SA,5,0,0.0
FUJITSU LIMITED,5,0,0.0
"282, Sector 19",5,1,0.2
"HONG KONG LIGHTLAYER TECHNOLOGY CO., LIMITED",5,4,0.8
Squiz Pty Ltd,5,0,0.0
UNE EPM TELECOMUNICACIONES S.A.,5,5,1.0
"SWITCH, LTD",5,0,0.0
Bell Canada,5,2,0.4
Podaon SIA,5,3,0.6
Magyar Telekom Plc.,5,1,0.2
"Level 3 Parent, LLC",5,1,0.2
uPress Inc,5,1,0.2
Almouroltec Servicos De Informatica E Internet Lda,5,3,0.6
"Cloud Hosting Solutions, Limited.",5,5,1.0
velia.net,4,1,0.25
"Nos Comunicacoes, S.A.",4,0,0.0
Ford Motor Company,4,0,0.0
Otsuka Corp.,4,0,0.0
TheHost LLC,4,2,0.5
CyberCloud Professionals LLC,4,0,0.0
Thg Hosting Limited,4,1,0.25
SiteVision AB,4,0,0.0
JOYO TECHNOLOGY PTE. LTD.,4,0,0.0
AS Number for CHINANET jiangsu province backbone,4,1,0.25
GlobalConnect AB,4,0,0.0
Bremen Briteline GmbH,4,0,0.0
"HostRocket.com, Inc.",4,0,0.0
Global-Data System IT Corporation,4,4,1.0
Exa Bytes Network Sdn.Bhd.,4,2,0.5
Telecom Argentina S.A.,4,3,0.75
IT WEB LTD,4,4,1.0
Outscale SASU,4,0,0.0
Tianfeng (Hong Kong) Communications Limited,4,0,0.0
NETWORK TRANSIT HOLDINGS LLC,4,2,0.5
AFRIHOST-SP,4,2,0.5
Consortium GARR,4,0,0.0
Federal State Unitary Enterprise Rossiya Segodnya International Information Agency,4,0,0.0
Meric Internet Teknolojileri A.S.,4,0,0.0
General Motors LLC,4,0,0.0
NETWAYS GmbH,4,0,0.0
Shinjiru Technology Sdn Bhd,4,1,0.25
SOPRADO GmbH,4,0,0.0
"Name Hero, LLC",4,0,0.0
"China Mobile Communications Group Co., Ltd.",4,0,0.0
Optimus IT d.o.o.,4,1,0.25
TeraSwitch Networks Inc.,4,1,0.25
LWSA SA,4,2,0.5
DIAMATRIX,4,2,0.5
Cyber_Folks SRL,4,1,0.25
MEDIACENTER HUNGARY INFORMATIKAI SZOLGALTATO ES UZEMELTETO kft,4,0,0.0
Datacenter Luxembourg S.A.,4,0,0.0
OTEnet S.A.,4,0,0.0
BEDGE CO LIMITED,4,0,0.0
UNINET,4,1,0.25
Uniserver Internet B.V.,4,0,0.0
Webzilla B.V.,4,4,1.0
